Date,symbol,signal,prev_high,prev_low,prev_close,atr,prob_hh,prob_hl
2015-12-10,CMG,0.0,560.669983,543.23999,548.01001,23.503188015678848,0.5114285714285715,0.33714285714285713
2015-12-11,CMG,1.0,579.52002,563.3099980000002,575.429993,24.303870214110972,0.7171428571428572,0.7057142857142857
2015-12-14,CMG,0.0,572.0,562.419983,565.0,23.17448419269987,0.5457142857142857,0.4657142857142857
2015-12-15,CMG,2.0,567.340027,549.76001,558.159973,22.615037473429886,0.46,0.6628571428571428
2015-12-16,CMG,-1.0,564.549988,553.570007,554.8599849999998,21.451531826086892,0.44857142857142857,0.38285714285714284
2015-12-17,CMG,1.0,569.280029,554.200012,567.830017,20.814380343478202,0.9085714285714286,0.9228571428571428
2015-12-18,CMG,-1.0,577.76001,554.599976,554.8900150000002,21.048945709130383,0.1,0.13142857142857142
2015-12-21,CMG,-1.0,555.340027,540.5,541.080017,20.42805383821734,0.26571428571428574,0.2057142857142857
2015-12-22,CMG,-1.0,544.880005,508.100006,522.01001,22.063248354395604,0.19714285714285715,0.4057142857142857
2015-12-23,CMG,-1.0,512.330017,494.109985,494.609985,22.64692601895604,0.14,0.15428571428571428
2015-12-24,CMG,1.0,501.25,482.2300110000001,497.4800110000001,22.284232317060425,0.8085714285714286,0.7428571428571429
2015-12-25,CMG,-1.0,501.9800110000001,494.299988,495.100006,20.823811385354396,0.38,0.26571428571428574
2015-12-29,CMG,1.0,499.0,485.76001,493.519989,20.065429246818955,0.5657142857142857,0.6742857142857143
2015-12-30,CMG,-1.0,497.23999,489.029999,489.940002,18.879885422137058,0.34,0.27714285714285714
2015-12-31,CMG,-1.0,492.98999,482.799988,485.790009,18.01089707992335,0.34285714285714286,0.3028571428571429
2016-01-01,CMG,-1.0,485.779999,477.970001,479.850006,16.991808171931012,0.48857142857142855,0.4257142857142857
2016-01-05,CMG,-1.0,469.0,447.5,448.80999800000006,18.527627954737913,0.2571428571428571,0.32285714285714284
2016-01-06,CMG,0.0,459.880005,446.799988,449.029999,17.98286685926412,0.58,0.4057142857142857
2016-01-07,CMG,-1.0,447.0,423.0,426.670013,18.787580073337704,0.32857142857142857,0.4342857142857143
